item_id,item,label
1,en mi ksa se sali el agua de la pecera y se cayeron adornos #temblorcr,Affected individuals
2,rt usrId estaba chateando con mi hija wendy quien vive en costa rica cuando ocurri el terremoto de httpAddress susto ! gracias a d ..,Affected individuals
3,rt usrId estoy a la espera de informes twreporteros #sismo #costarica,Affected individuals
4,ministro hinzpeter descarta evacuaci n por el momento tras terremoto en costa rica,Affected individuals
5,rt usrId la cruz roja en #costarica ha manifestado que no hay v ctimas que lamentar tras fuerte sismo ocurrido el d a de hoy,Affected individuals
6,rt usrId red cross in costa rica says no casualties reported so far after httpAddress earthquake httpAddress,Affected individuals
7,rt usrId no casualties reported after costa rica quake so far red cross httpAddress #redcross #quake #costarica,Affected individuals
8,rt usrId dos desaparecidos al volcarse lancha por el fuerte oleaje en bluefields tras terremoto en #costa rica #nicaragua,Affected individuals
9,rt usrId costa rica president says no report of loss of life so far after quake usrId more updates on httpAddress ..,Affected individuals
10,rt usrId actualizaci n presidente de #costarica chinchilla dice que hay reportes de daos pero no muertes y de heridos tras el te ..,Affected individuals
11,rt usrId costa rica president says no report of loss of life so far after quake usrId more updates on httpAddress ..,Affected individuals
12,rt usrId costa httpAddress confirmada una mujer fallecida por un ataque cardiaco durante el httpAddress v a usrId,Affected individuals
13,terremoto de 7 6 grados sin v ctimas en costa rica alerta de tsunami httpAddress v a usrId,Affected individuals
14,terremoto en costa rica deja dos httpAddress y daos estructurales de httpAddress,Affected individuals
15,dice reuters red cross says two people dead from costa rica earthquake ; one fatality the httpAddress httpAddress #cuba #abajoraul,Affected individuals
16,update red cross says D dead in costa rica earthquake one of them from heart httpAddress alertnet,Affected individuals
17,rt usrId red cross in costa rica says no casualties reported so far after the massive 7.9 magnitude httpAddress,Affected individuals
18,rt usrId urgente cruz roja de costa rica confirma dos muertos por el terremoto de 7.6 httpAddress,Affected individuals
19,#worldnews powerful quake hits costa rica two dead reuters httpAddress httpAddress httpAddress usrId,Affected individuals
20,powerful quake hits costa rica two dead yahoo ! news httpAddress via usrId,Affected individuals
21,costa rica terremoto eua retira alerta de tsunami e costa rica confirma 1 morte ap s terremoto httpAddress,Affected individuals
22,powerful quake hits costa rica two dead reuters india httpAddress quake hits costa rica two httpAddress httpAddress,Affected individuals
23,two dead DD injured as major earthquake at magnitude 7.6 damages costa rica coast red cross httpAddress,Affected individuals
24,#sismo #costarica dejo D muertos y hubo alerta de #tsunami que ya cancelada datos preliminares lo ubicaron en magnitud 7.9 corregida a 7.6,Affected individuals
25,powerful quake hits costa rica two dead reuters globe and mailpowerful quake hits costa rica two httpAddress httpAddress,Affected individuals
26,powerful 7.6 magnitude quake hits costa rica at least two dead httpAddress,Affected individuals
27,rt usrId powerful quake hits costa rica two dead httpAddress,Affected individuals
28,ren #ren reuters powerful quake hits costa rica two dead httpAddress httpAddress,Affected individuals
29,huge quake jolts costa rica two killed httpAddress,Affected individuals
30,we experienced a 7.6 #earthquake in a town about 20km south of my place here in httpAddress no serious injuries here in httpAddress,Affected individuals
31,a huge earthquake hit guanacaste costa rica today where i was just D months httpAddress D people were killed #shocking,Affected individuals
32,httpAddress an hour after the earthquake a woman died for a heat attack a man who fallen didn t die said costa rican president,Affected individuals
33,powerful quake hits costa rica no deaths httpAddress,Affected individuals
34,dos personas fallecidas deja el terremoto en costa httpAddress me alegra bastante dado que pudo haber sido httpAddress,Affected individuals
35,three killed in costa rica httpAddress quake xinhua httpAddress,Affected individuals
36,rt usrId la presidenta de #costarica dice que el terremoto no ha causado v ctimas httpAddress,Affected individuals
37,powerful quake hits costa rica no deaths httpAddress,Affected individuals
38,three killed in costa rica httpAddress quake xinhua the nationthree killed in costa rica httpAddress httpAddress httpAddress,Affected individuals
39,el terremoto en #costarica dej dos muertos e indagan otros dos httpAddress,Affected individuals
40,el terremoto en #costarica dej dos muertos e indagan otros dos httpAddress,Affected individuals
41,crisis y caos por terremoto en costa rica al menos dos muertos ms de DD heridos as como afectaciones en httpAddress httpAddress,Affected individuals
42,#temblorcr estaba con mi nieto se sinti muy fuerte,Affected individuals
43,#costarica D muertes httpAddress aun eval an daos en infraestructura tras el httpAddress,Affected individuals
44,usrId hi im from costa rica D days ago was an earthquake in my httpAddress httpAddress,Affected individuals
45,rt usrId caribbean wide tsunami watch in effect after costa rican quake pacific tsunami warning center,Caution and advice
46,rt usrId live coverage httpAddress earthquake rattles the coast of costa rica ; tsunami watch for caribbean in effect httpAddress ..,Caution and advice
47,rt usrId caribbean wide tsunami watch in effect after costa rican quake pacific tsunami warning center says usrId,Caution and advice
48,rt usrId urgente terremoto en costa rica de httpAddress aviso de tsunami costa rica panama nicaragua el salvador honduras mexico ..,Caution and advice
49,rt usrId caribbean wide tsunami watch in effect after costa rican quake pacific tsunami warning center says usrId,Caution and advice
50,rt usrId caribbean wide tsunami watch in effect after costa rican quake pacific tsunami warning center says usrId #lgf #p2,Caution and advice
51,rt usrId live coverage httpAddress earthquake rattles the coast of costa rica ; tsunami watch for caribbean in effect httpAddress ..,Caution and advice
52,rt usrId urgente un terremoto de magnitud 7 9 sacudi #costarica seg n el servicio geol gico de estados httpAddress httpAddress,Caution and advice
53,rt usrId caribbean wide tsunami watch in effect after costa rican quake pacific tsunami warning center says usrId,Caution and advice
54,rt usrId breaking 7.9 magnitude earthquake strikes off the coast of costa rica caribbean wide tsunami watch in effect details t ..,Caution and advice
55,rt usrId live coverage httpAddress earthquake rattles the coast of costa rica ; tsunami watch for caribbean in effect httpAddress ..,Caution and advice
56,#temblor usrId #tsunami warning pacific tsunami warning in effect for costa httpAddress httpAddress,Caution and advice
57,la alerta de tsunami a causa del terremoto en costa rica llega hasta ecuador nos salvamos ? . .,Caution and advice
58,rt usrId caribbean wide tsunami watch in effect after costa rican quake pacific tsunami warning center says usrId,Caution and advice
59,alerta de tsunami en todo la costa de costa rica terremoto 7.9,Caution and advice
60,rt usrId caribbean wide tsunami watch in effect after costa rican quake pacific tsunami warning center says usrId,Caution and advice
61,rt usrId caribbean wide tsunami watch in effect after costa rican quake pacific tsunami warning center says usrId,Caution and advice
62,rt usrId httpAddress #earthquake hits off coast of costa httpAddress httpAddress,Caution and advice
63,rt usrId en desarrollo terremoto 7 9 grados se registr en costa httpAddress activan alerta de tsunami para centro amrica y sudam ..,Caution and advice
64,usrId seg n usgs sismo de 7.9 se sinti hace unos minutos 8 42 am en #costarica con epicentro en httpAddress,Caution and advice
65,usrId breaking 7.9 #earthquake off costa rica httpAddress #tsunmai warning for west coasts of central httpAddress,Caution and advice
66,rt usrId shoa publica alerta de tsunami para las costas de chile tras terremoto en costa httpAddress httpAddress,Caution and advice
67,rt usrId urgente terremoto en costa rica de httpAddress aviso de tsunami costa rica panama nicaragua el salvador honduras mexico ..,Caution and advice
68,rt usrId tras el sismo de 7 9 en #costarica hay alerta de #tsunami para toda la zona costera desde #centroamrica hasta #brasil http ..,Caution and advice
69,rt usrId tras el sismo de 7 9 en #costarica hay alerta de #tsunami para toda la zona costera desde #centroamrica hasta #brasil http ..,Caution and advice
70,rt usrId sismo 7.9 en httpAddress se activa alerta de httpAddress,Caution and advice
71,rt usrId caribbean wide tsunami watch in effect after costa rican quake pacific tsunami warning center says usrId,Caution and advice
72,alerta httpAddress decretan alerta de tsunami luego de terremoto de magnitud 7.9 grados que azot costa rica,Caution and advice
73,rt usrId tras el sismo de 7 9 en #costarica hay alerta de #tsunami para toda la zona costera desde #centroamrica hasta #brasil http ..,Caution and advice
74,rt usrId httpAddress alerta de #tsunami en el pac fico tras #temblor con epicentro en costa httpAddress httpAddress,Caution and advice
75,rt usrId shoa anuncia en su pgina web de alerta de tsunami para las costas chilenas tras terremoto en costa rica httpAddress ..,Caution and advice
76,a caribbean wide tsunami watch is in effect after a httpAddress earthquake struck costa httpAddress #keepsafe #godbless,Caution and advice
77,rt usrId tras el sismo de 7 9 en #costarica hay alerta de #tsunami para toda la zona costera desde #centroamrica hasta #brasil http ..,Caution and advice
78,rt usrId chile s navy says declares tsunami alert warning for chilean coast following costa rica quake,Caution and advice
79,usrId tras el sismo de 7 9 en #costarica hay alerta de #tsunami para toda la zona costera desde #centroamrica hasta #brasil #colombia,Caution and advice
80,rt usrId urgente #terremoto en #costarica origin breve alerta de tsunami que ya fue cancelada para chile,Caution and advice
81,rt usrId tras el sismo de 7 9 en #costarica hay alerta de #tsunami para toda la zona costera desde #centroamrica hasta #brasil http ..,Caution and advice
82,rt usrId tras el sismo de 7 9 en #costarica hay alerta de #tsunami para toda la zona costera desde #centroamrica hasta #brasil http ..,Caution and advice
83,rt usrId breaking coast of costa rica hit by a 7.9 magnitude httpAddress tsunami warning in httpAddress no word of any httpAddress,Caution and advice
84,rt usrId alerta de tsunami para las costas chilenas por el terremoto en costa rica !,Caution and advice
85,rt usrId ahora shoa decreta alerta de tsunami para la costa chilena tras terremoto en costa httpAddress,Caution and advice
86,rt usrId ahora shoa publica en este momento que hay alerta de tsunami para #chile por terremoto en #costarica httpAddress,Caution and advice
87,rt usrId tras el sismo de 7 9 en #costarica hay alerta de #tsunami para toda la zona costera desde #centroamrica hasta #brasil http ..,Caution and advice
88,tras el sismo de 7 9 en #costarica hay alerta de #tsunami para toda la zona costera desde #centroamrica hasta #brasil,Caution and advice
89,rt usrId httpAddress 7.9 #earthquake just off the coast of costa httpAddress #tsunami warnings for pacific coast of mexico c . amehttpAddress s . a ..,Caution and advice
90,ltima hora un terremoto de 7 9 de magnitud sacude el noroeste de costa rica,Caution and advice
91,rt usrId caribbean wide tsunami watch in effect after costa rican quake pacific tsunami warning center says usrId,Caution and advice
92,rt usrId urgente fuerte terremoto en costa httpAddress alerta de tsunami para costa rica barbados mxico brasil guyana francesa y caribe,Caution and advice
93,rt usrId tras el sismo de 7 9 en #costarica hay alerta de #tsunami para toda la zona costera desde #centroamrica hasta #brasil http ..,Caution and advice
94,rt breakingnews magnitude 7.9 earthquake strikes off the coast of costa rica usgs,Caution and advice
95,rt usrId alerta de tsunami para las costas de chile por terremoto en costa httpAddress shoa,Caution and advice
96,rt usrId urgente un terremoto de magnitud 7 9 sacudi #costarica seg n el servicio geol gico de estados httpAddress httpAddress,Caution and advice
97,rt usrId breaking magnitude 7.9 earthquake strikes off the coast of costa rica tsunami watch for caribbean reuters reports,Caution and advice
98,rt usrId ahora shoa publica en este momento que hay alerta de tsunami para #chile por terremoto en #costarica httpAddress,Caution and advice
99,aviso de tsunami en el caribe tras un terremoto de 7.9 cerca de costa rica,Caution and advice
100,rt usrId urgente snam declara alerta de tsunami para costas de chile por terremoto en 7.9 richter en costa rica usrId,Caution and advice
101,rt usrId tras el sismo de 7 9 en #costarica hay alerta de #tsunami para toda la zona costera desde #centroamrica hasta #brasil http ..,Caution and advice
102,rt usrId por la prueba en #costarica no se descarta posibilidad de tsunami desde #centroamrica hasta httpAddress atentos httpAddress,Caution and advice
103,rt usrId ltima hora terremoto de 7.9 grados en costa httpAddress hay alerta de tsunami,Caution and advice
104,terremoto de 7 9 grados richter azota costa rica y el shoa transmite alerta de tsunami preventiva para costas chilenas httpAddress,Caution and advice
105,rt usrId por la prueba en #costarica no se descarta posibilidad de tsunami desde #centroamrica hasta httpAddress de hacer httpAddress,Caution and advice
106,rt usrId #terremoto en costa rica activa alerta de #tsunami para norte de chile aqu la noticia completa httpAddress,Caution and advice
107,bolet n n 1 noaa ptwc para el mar caribe 5 sep 2012 wide tsunami watch in effect #sismo #earthquake httpAddress,Caution and advice
108,rt usrId ltima hora terremoto de 7.9 grados en costa httpAddress hay alerta de tsunami,Caution and advice
109,rt usrId alerta de tsunami para las costas de chile por terremoto en costa httpAddress shoa,Caution and advice
110,o rt usrId gt ; rt usrId terremoto de 7.9 en costa rica una advertencia de tsunami cont httpAddress,Caution and advice
111,rt usrId tras el sismo de 7 9 en #costarica hay alerta de #tsunami para toda la zona costera desde #centroamrica hasta #brasil http ..,Caution and advice
112,rt usrId #ultimominuto autoridades han emitido alerta de tsunami para la zona del caribe por sismo de httpAddress en #costarica,Caution and advice
113,httpAddress httpAddress hr chilena terremoto en costa rica httpAddress se descart tsumani para centroamerica,Caution and advice
114,rt usrId urgente ante terremoto en costa rica shoa advierte probabilidad de tsunami en chile httpAddress favor aten ..,Caution and advice
115,rt usrId chile s navy declares tsunami alert warning for country s coastline following costa rica quake usrId usgs revise ..,Caution and advice
116,rt usrId #ultimominuto terremoto de 7 6 sacude costa rica y declaran a la vez alerta de tsunami en chile,Caution and advice
