item_id,item,label
13687,usgs reports a httpAddress #earthquake 70km ese of healy alaska on httpAddress 2 45 15 utc httpAddress #quake,Other Useful Information
13688,quakefactor m httpAddress southern alaska sunday september 29 DD 21 15 20 utcsunday httpAddress httpAddress #earthquake #quake,Not related or irrelevant
13689,what you wanna say abt #ttp #peacetalks amp ; #pakistan ?? call now amp ; #letstalk to rj usrId live now httpAddress httpAddress,Not related or irrelevant
13690,top story pakistan quake survivors face long wait for aid awaran pakistan tens of httpAddress httpAddress #pakistan #news,Donation and volunteering
13691,rt usrId DD dead more than DD injured in 7.7 magnitude quake very close to surface #awaran #balochistan worst affected,Affected individuals
13692,usgs reports a httpAddress #earthquake 6km sse of san juan bautista california on httpAddress 21 36 47 utc httpAddress #quake,Other Useful Information
13693,rt usrId island that emerged near gwadar #earthquake is temporary say httpAddress httpAddress how about setting up a ttp office there ? via,Other Useful Information
13694,usrId 1300 people have been killed due to terrorism in last DD httpAddress httpAddress #overthrowcorruptsystem #pakistan,Not related or irrelevant
13695,quetta quake toll 328 more deaths feared httpAddress #karachi #pakistan,Affected individuals
13696,rt usrId update death toll in #peshawar bomb blast rises to 38 about DD injured hospital officials httpAddress #pakistan,Affected individuals
13697,#earthquake m httpAddress northern california httpAddress,Other Useful Information
13698,rt usrId ch . nisar rockets were fired at a rescue and relief helicopter when it tried to access #earthquake victims in #balochist,Not related or irrelevant
13699,azerbaijani ministry of emergency situations offered to #pakistan to hold rescue operations in the quake hit regions httpAddress,Donation and volunteering
13700,rt usrId photo #nasa releases image of #pakistan s earthquake island httpAddress httpAddress,Other Useful Information
13701,#earthquake m httpAddress northern california httpAddress,Other Useful Information
13702,rt usrId #peru #earthquake httpAddress depth 33km DD sep DD 16 42utc about DD people within 100km httpAddress,Other Useful Information
13703,rt usrId #pakistan militants fire on quake relief helicopter as death toll rises to 348 httpAddress,Affected individuals
13704,rt usrId DD kids recovered alive from under earthquake rubble in httpAddress shukar allah !! #earthquake,Affected individuals
13705,rt usrId news #mqm quaid altaf hussain voices concern over murderous attempt on prof nabis life #karachi #pakistan httpAddress,Not related or irrelevant
