item_id,item,label
19726,rt usrId govt asks media houses to exercise restraint while speculating about possible aftershocks after the devastating quake in nepa,Other Useful Information
19727,#money #news #top #b httpAddress quake hits nepal causing big damage injuries get httpAddress,Infrastructure and utilities
19728,rt usrId #nepalearthquake update the indian army says DD bodies have been found on #mounteverest after an #avalanche buried part of,Affected individuals
19729,rt usrId cnn obtains powerful images of baby rescued at least DD hours after #nepalearthquake hit httpAddress httpAddress,Affected individuals
19730,my thoughts and prayers to everyone in httpAddress httpAddress,Sympathy and support
19731,rt usrId prayers for nepal httpAddress,Sympathy and support
19732,rt usrId these baltimore niggers should move to httpAddress,Not related or irrelevant
19733,rt usrId our reports show #nepalearthquake destruction including epicentre httpAddress amp ; httpAddress httpAddress,Infrastructure and utilities
19734,usrId live from airport kathmandu 19 03hrs in conversation with aok in studios httpAddress,Other Useful Information
19735,rt usrId please support usrId helping children in danger from #earthquake in #nepal httpAddress pls rt,Donations and volunteering
19736,rt usrId thousands flee kathmandu as india steps up relief efforts in nepal DD developments httpAddress httpAddress,Affected individuals
19737,rt usrId #nepalearthquake a c 17 globemaster ii aircraft with about DD passengers on board is scheduled to arrive at palam d,Affected individuals
19738,rt usrId #israel airforce left D #nepal to save lives search amp ; rescue amp ; set up a field httpAddress #nepalquakerelief #nepalquake http,Donations and volunteering
19739,rt usrId dharahara once nepal s tallest monument seen in 1920 1934 2013 httpAddress i hope we rebuild httpAddress #nepalearthquake http,Infrastructure and utilities
19740,think of nepal over DD daed my by more that isnot climate change its natur whatis next not even mother nature can help that how it is,Affected individuals
19741,rt usrId may allah look after httpAddress here r the emergency contact numbers for nepal share httpAddress prayers with all in httpAddress httpAddress,Sympathy and support
19742,nepal #earthquake climber captures mount #everest #avalanche #c4news httpAddress,Other Useful Information
19743,kontext bat rt wsj google executive dan fredinburg killed in everest avalanche after nepal earthquake httpAddress,Affected individuals
19744,rt usrId #kathmandu if your wifi is working httpAddress disable the httpAddress let people httpAddress,Donations and volunteering
19745,rt usrId thinking about everyone involved in the earthquake in httpAddress such awful httpAddress,Sympathy and support
19746,rt usrId want to help #nepal recover from the quake ? cancel its debt httpAddress #nepalearthquake httpAddress,Other Useful Information
19747,rt usrId thoughts and prayers going out to the people of nepal f 4 httpAddress,Sympathy and support
19748,rt usrId keep nepal in ur thoughts pls,Sympathy and support
19749,buried for D days and still alive five days after a massive earthquake decimated large swaths of nepal httpAddress httpAddress,Affected individuals
19750,my prayers for the people in #nepal please send positive thoughts and prayers with me . httpAddress,Sympathy and support
19751,rt usrId a storm system is about to move through #kathmandu over the next few httpAddress rain strong winds lightning httpAddress httpAddress,Other Useful Information
19752,rt usrId proud to hear usrId has extended support amp ; is sending relief to nepal with the urgency that a situation like this,Donations and volunteering
19753,rt usrId update httpAddress border teams helped intercept DD victims #humantrafficking #nepal prayers for them amp ; the border teams ht,Not related or irrelevant
19754,if you want to help #nepal usrId has curated a number of ways you can lend your support httpAddress,Donations and volunteering
19755,rfi khmer radio nepal earthquake 5days after httpAddress via usrId,Other Useful Information
19756,rt usrId fantastic message of support from the lovely usrId we know dan amp ; the team in #nepal will be httpAddress httpAddress,Sympathy and support
19757,#gyasa with #hope nhumanity #savenepal #nepalquakerelief #goingfromdelhi #volentiersfromdelhi #jainepal httpAddress,Donations and volunteering
19758,rt usrId #nepalquake indian relief aircraft leaves for nepal from hindon airbase ani httpAddress,Donations and volunteering
19759,rt usrId to help those affected by the devastating earthquake in nepal text donate5 to DD and give 5 . thank you usrId,Donations and volunteering
19760,rt usrId breaking nepal police official says at least 1 910 have died including DD in kathmandu in the quake,Affected individuals
19761,atonce help from india amp ; abroad is appreciable in httpAddress earthquack desater thanks them# heartly condolence for those who have no more,Donations and volunteering
19762,microsoft offers free skype calls in nepal facebook donates 2 million httpAddress,Donations and volunteering
19763,rt usrId nepal earthquake pushed part of india a few feet northward httpAddress,Other Useful Information
19764,rt usrId my friend usrId is heading into nepal to him his fellow people show ur support anyway u can httpAddress,Donations and volunteering
19765,rt usrId and please pray for httpAddress #prayersfornepal f,Sympathy and support
19766,rt usrId experts had warned for decades that nepal was vulnerable to a killer quake httpAddress,Other Useful Information
19767,rt usrId after nepal earthquake a pile of bodies and a lost world httpAddress httpAddress,Affected individuals
19768,google exec dies in mt . everest avalanche after nepal quake httpAddress #startup #entrepreneurs #ideas,Affected individuals
19769,rt usrId nepal earthquake reduces world heritage sites to rubble httpAddress httpAddress,Infrastructure and utilities
19770,rt usrId breakdown in communications hampering response effort #nepalearthquake httpAddress,Other Useful Information
19771,rt usrId . usrId usrId amp ; usrId were at everest basecamp when #nepalquake httpAddress both safe but DD others dead htt,Affected individuals
19772,rt usrId prayers sent to all those effected by nepal earthquake f #candy #sasusaku #nepalearthquake #naruto httpAddress,Sympathy and support
19773,rt usrId wendesday may six yoga DD will be hosting a bake sale to help support the relief efforts in nepal come help out cpa !,Donations and volunteering
19774,rt usrId this is what hindu nation nepal got from pakistan as a relief httpAddress #filthyislam httpAddress,Other Useful Information
19775,rt usrId help the families of the nepal earthquake which has left thousands httpAddress donate to usrId at httpAddress #,Donations and volunteering
19776,rt usrId pak insulted hinduism httpAddress buddhism culture of nepal if pak don t want to help its ok but don t spoil spirituality n beliefs,Other Useful Information
19777,rt usrId we are responding to httpAddress usrId worker with a little girl in need of temporary shelter in #kathmandu httpAddress,Other Useful Information
19778,she is a true nepali httpAddress,Not related or irrelevant
19779,rt usrId #nepalearthquake latest httpAddress 3 617 killed 6 515 injured totals set to rise huge damage httpAddress,Affected individuals
19780,rt usrId #nepalearthquake 144 can provide clean drinking water for DD httpAddress please donate now httpAddress http,Donations and volunteering
19781,our prayers for all the tibetans and nepalese that have died or been affected by the terrible earthquake in httpAddress httpAddress,Sympathy and support
19782,nepal earthquake kathmandu turns into city of tents as victims seek refuge the straits times httpAddress,Affected individuals
19783,rt usrId #gimel will be sending relief supplies for #nepalearthquake httpAddress please join this effort amp ; contribute with things you do,Donations and volunteering
19784,maldivian to travel to nepal to evacuate maldivians from the country httpAddress,Affected individuals
19785,bap bangyongguk praying for the people in nepal,Sympathy and support
19786,rt usrId quake terror it s still shaking nepal rocked temors felt in india and bangladesh httpAddress httpAddress,Other Useful Information
19787,rt usrId reached #kathmandu after a 9 hr httpAddress lobby hotel yak n yeti . no one wants sleep in the httpAddress #aftershocks nepal httpAddress,Other Useful Information
19788,rt usrId nepal httpAddress foreign ministry reports number of israelis who have yet to make contact following massive earthquake is dow,Other Useful Information
19789,rt usrId t DD o ! god .. this is nepal earthquake httpAddress i shot a song here for mahaan with zeenat aman .. pray all well httpAddress,Sympathy and support
19790,rt usrId the next DD hrs will be critical amp ; rescue efforts are complicated by the terrain #nepalquake httpAddress httpAddress,Caution and advice
19791,rt usrId #breaking nearly D million children require urgent humanitarian assistance after #nepalearthquake httpAddress,Donations and volunteering
19792,rt usrId just donated usrId #nepalearthquake httpAddress if you can too go here httpAddress or text donate5,Donations and volunteering
19793,rt usrId bruce jenner still front page of yahoo when DD people died in an earthquake in nepal this morning,Affected individuals
19794,DD hours ! ! god !! httpAddress,Not related or irrelevant
19795,rt usrId manisha koirala thanks indian govt pm usrId for relief help to quake hit nepal httpAddress,Donations and volunteering
19796,rt usrId hey people searching for any info on my brother liam oliver in nepal and was traveling chanje dharpani annapurna cir,Affected individuals
19797,rt usrId text the word nepal to DD to donate DD dollars to earthquake relief in httpAddress thousands of people are hurt and they,Donations and volunteering
19798,rt usrId when i see the outcomes of the recent earthquake in nepal i wonder if the nature s fury is enough for people httpAddress httpAddress,Not related or irrelevant
19799,nepal receives heavy rainfall #nepalearthquake httpAddress,Other Useful Information
19800,usrId so what about #earthquakenepal,Other Useful Information
19801,how to help earthquake victims in nepal httpAddress via usrId,Donations and volunteering
19802,rt usrId please don t donate money to any news channel or ngo to help httpAddress wait D appropriate link usrId provide,Donations and volunteering
19803,tourist are at street today morning in thamel httpAddress #nepal #kathmandu #thamel httpAddress,Affected individuals
19804,rt usrId donate now and support the victims of the nepal httpAddress ways to help httpAddress,Donations and volunteering
19805,lets take a moment n #prayforbaltimore #prayfornepal #godisneeded f f f,Sympathy and support
19806,rt usrId mea has set up a dedicated handle httpAddress pls httpAddress #nepalquake httpAddress,Other Useful Information
19807,rt usrId pm modi amp ; hm rajnath singh called us expressed their concern they have offered us all aid possible d upadhyay nepal ambas,Donations and volunteering
