4660,huge quake rocks nepal tremors shake north india toi mobile the times of india mobile site httpAddress,Not related or irrelevant
4661,whats up now ? httpAddress,Not related or irrelevant
4662,nepal earthquake and bb httpAddress now i m torn between feeling happy or httpAddress,Not related or irrelevant
4663,of course httpAddress httpAddress,Not related or irrelevant
4664,"usrId usrId i guess they didn t did httpAddress bad timing blunder
think how to help #nepal instead httpAddress httpAddress",Not related or irrelevant
4665,joke of the day httpAddress,Not related or irrelevant
4666,usrId time to start the help not to make discussion in nepal like kashmir,Not related or irrelevant
4667,devastating earthquake in nepal amp ; news stations still focused on bruce jenner s new httpAddress get the hell outta httpAddress,Not related or irrelevant
4668,how is bruce jenner transitioning into a woman getting more coverage than DD dead after an earthquake in nepal our world is so httpAddress,Not related or irrelevant
4669,pompous officious gaseous parochial me toism of the most annoying type httpAddress,Not related or irrelevant
4670,must learn D do more D children families httpAddress asd in natural disasters usrId httpAddress #science #nepalquake,Not related or irrelevant
4671,paponmusic #nepalearthquake assistance #phonenumbern #kathmandu httpAddress,Not related or irrelevant
4672,so this is a news ! wah httpAddress,Not related or irrelevant
4673,vultures as #churchagents swarming in #nepalearthquake to enjoy #predatoryproselytising during human tragedy ! shame httpAddress,Not related or irrelevant
4674,you know a disaster is bad on twitter when it trends above any 1direction httpAddress #nepal,Not related or irrelevant
4675,provide them with better facility httpAddress,Not related or irrelevant
4676,please share httpAddress,Not related or irrelevant
4677,moron speak p httpAddress,Not related or irrelevant
4678,#prayfornepal natural disasters suck big httpAddress appreciate that malaysia is a natural disaster haven httpAddress,Not related or irrelevant
4679,until there came to them clear evidence en httpAddress httpAddress,Not related or irrelevant
4680,until there came to them clear evidence en httpAddress httpAddress,Not related or irrelevant
4681,insensitive behaviour of httpAddress offers discount after the #nepalearthquake saying shake it like off like this earthquake ugghh,Not related or irrelevant
4682,we are the 1st one to be there during any calamity !! jai ho #rss httpAddress,Not related or irrelevant
4683,massive #earthquake #obamas #obama #freddiegray #nepalearthquake #kathmandu #delhi #bihar #everest #mounteverest httpAddress,Not related or irrelevant
4684,i added a video to a usrId playlist httpAddress httpAddress disaster in nepal s0 news april 25 DD,Not related or irrelevant
4685,jesus couldn t save himself from roman httpAddress httpAddress,Not related or irrelevant
4686,very sad news emerging from httpAddress,Not related or irrelevant
4687,notice the ones under the rubble are httpAddress massive risk to the urban poor in kathmandu httpAddress,Not related or irrelevant
4688,usrId ohh mey ne news me dekha bht deaths howi nepal ne,Not related or irrelevant
4689,important httpAddress httpAddress,Not related or irrelevant
4690,abp live english news todays latest breaking news in english online english news httpAddress,Not related or irrelevant
4691,nepal quake,Not related or irrelevant
4692,"#catchgg vietnamese #ikon #saigon #aseanpeople #lisbon kathmandu
kyle walker
everest
kris humphries #ackermann #movie httpAddress",Not related or irrelevant
4693,that s a quick move from indian httpAddress httpAddress,Not related or irrelevant
4694,horrible httpAddress httpAddress,Not related or irrelevant
4695,oh my god httpAddress,Not related or irrelevant
4696,usrId usrId almighty man is the most quarrel httpAddress please come to islam before it is too late #nepalearthquake #india usrId,Not related or irrelevant
4697,living as a proud citizen of a great nation #india httpAddress,Not related or irrelevant
4698,usrId dd come to islam and ask for forgiveness before it is too late #nepalearthquake #india .. let s say no to idols heretic beliefs,Not related or irrelevant
4699,major quake hits nepal httpAddress,Not related or irrelevant
4700,thank httpAddress much httpAddress httpAddress,Not related or irrelevant
4701,kathmandu the ancient metropolis of the himalaya httpAddress,Not related or irrelevant
4702,goddamn it . httpAddress,Not related or irrelevant
