13061,"dua s for all those affected by the
earthquakes in india nepal amp ; httpAddress stay
safe amp ; help others in any httpAddress #equake httpAddress",Sympathy and support
13062,absolutely devastated by the destruction to my old home #nepal,Sympathy and support
13063,thoughts are with the families in #nepal,Sympathy and support
13064,frightful images ! our prayers echo for everyone httpAddress #earthquake #indiawithnepal httpAddress,Sympathy and support
13065,who was gajendra singh ? today no news boz of earthquake in httpAddress this is india . we forget eveything in D days till useful for us,Sympathy and support
13066,when you go out for momos this evening ask and reassure the httpAddress most of them have their families in nepal and they might be stuck httpAddress,Sympathy and support
13067,#earthquake usrId my uncle is travelling in nepal but has notified us that he s ok . he is in the mountains which was less badly httpAddress,Sympathy and support
13068,our affection from madrid spain there we were this summer from nepal,Sympathy and support
13069,prayers and thoughts with those affected by the earthquake 4f #nepal,Sympathy and support
13070,my sincere condolences for your loss #nepal and #india ! #pak #govt and #pakarmy #airforce ready to take part in rescue operation #bigheart,Sympathy and support
13071,god bless httpAddress httpAddress,Sympathy and support
13072,usrId ya my frnd me and our india all with u and ur #nepal,Sympathy and support
13073,it s httpAddress httpAddress,Sympathy and support
13074,i will keep nepal in my prayers i hope you guys can recuperate from this,Sympathy and support
13075,usrId may god bless nepal,Sympathy and support
13076,praying fr nepal,Sympathy and support
13077,i feel so bad for the people of httpAddress #prayfornepal #earthquake,Sympathy and support
13078,#beingindian mourns the loss of the lives in the #earthquake that hit nepal httpAddress we hope you find the strength to recover httpAddress,Sympathy and support
13079,patan is where i was born my home my httpAddress it s so devastating to see the state it is in httpAddress oh httpAddress have mercy ! 4d,Sympathy and support
13080,thinking of everyone in nepal please all stay safe xx,Sympathy and support
13081,pray for #nepal where a powerful earthquake has httpAddress may the almighty grant them ease to face this calamity with utmost httpAddress httpAddress,Sympathy and support
13082,pray for #nepal cb,Sympathy and support
13083,really saddened by visuals of #nepal after the httpAddress may they find all d help n strength dey need D bear dis tragedy n recover n rise,Sympathy and support
13084,i always make a point to visit the patan museum durbar sq when i m in httpAddress it saddens me now to think that it would never be the same now,Sympathy and support
13085,#earthquakeindia judging by the nature of tremors in lakhimpur one can only imagine the plight of people in httpAddress god be with them !!,Sympathy and support
13086,prayers go out to my friends in #nepal i will see if my art can help fundraise for relief httpAddress feeling emotional,Sympathy and support
13087,usrId just heard you on the radio talking about a cdn at everest and now i m hoping he s httpAddress #nepalearthquake,Sympathy and support
13088,breaks my httpAddress i had wanted to go see it for httpAddress now that is not going to httpAddress httpAddress,Sympathy and support
13089,sad to hear the news about the massive #earthquake in httpAddress i am hoping that news about all of httpAddress,Sympathy and support
13090,usrId lifts up the country of nepal during this time of the httpAddress may the lord be refuge of the httpAddress,Sympathy and support
13091,pray for nepal,Sympathy and support
13092,prayers !! httpAddress,Sympathy and support
13093,thank you httpAddress httpAddress,Sympathy and support
13094,prayers and thoughts for httpAddress #nepalquake,Sympathy and support
13095,so sad to hear about the many lives that have been taken due to the earthquake all my love amp ; prayers go out to everyone in nepal amp ; httpAddress,Sympathy and support
13096,words fail me . you cannot make this shit up . #nepalearthquake httpAddress,Sympathy and support
13097,scenes from #nepal look scary ! god bless them !,Sympathy and support
13098,just returned from mountain trek and the said news poping out on screen is the httpAddress praying for the minimal httpAddress,Sympathy and support
13099,thought amp ; httpAddress httpAddress,Sympathy and support
13100,#prayfornepal be httpAddress,Sympathy and support
13101,usrId wil be thankful #nepalquake #prayfornepal #savenep,Sympathy and support
13102,oh shit nepal D,Sympathy and support
13103,blessings for all influenced httpAddress,Sympathy and support
13104,i tried to keep myself away from looking at news from httpAddress omg how httpAddress au . ka httpAddress,Sympathy and support
13105,httpAddress httpAddress,Sympathy and support
13106,condolences go out D u httpAddress all r wid u httpAddress hs alwys bn amp ; wl b our gd httpAddress rdy to hlp u guys as said by our pm usrId,Sympathy and support
13107,httpAddress httpAddress,Sympathy and support
13108,when nature reacts u feel the hugeness of the beast . prayers for all in nepal . may god shower his grace and may all be safe .,Sympathy and support
13109,god bless the victims of the nepal httpAddress,Sympathy and support
13110,thinking of colleagues and friends in #nepal #india usrId usrId,Sympathy and support
13111,7.9 quake hits nepal causing big damage DD dead rest in peace to those who lost their lives in nepal due httpAddress httpAddress,Sympathy and support
