item_id,item,label
867,rt usrId urgente seis heridos hasta el momento en guatemala tras fuerte sismo reporta usrId #cruzroja,Affected individuals
868,rt usrId empiezan a salir cifras por temblor D heridos en guatemala . via usrId,Affected individuals
869,rt usrId urgente seis heridos hasta el momento en guatemala tras fuerte sismo reporta usrId #cruzroja,Affected individuals
870,rt usrId usrId reportan una persona muerta tras sismo de 7.2 grados en guatemala ; hay viviendas con httpAddress,Affected individuals
871,rt usrId al menos tres muertos por fuerte terremoto en httpAddress unas DD casas se desplomaron en san pedro sacatepquez depart ..,Affected individuals
872,rt usrId el presidente de #guatemala habla en estos momentos con usrId sobre la situaci n por el sismo de 7 4 httpAddress,Affected individuals
873,usrId ya son DD muertos en guatemala y ms de DD desaparecidos por fuerte sismo segun grupos de httpAddress,Affected individuals
874,DD muertos en guatemala tras sismo de httpAddress,Affected individuals
875,sismo de 7.2 en guatemala daos en algunos municipios muertos mas de DD personas desaparecidas dios nos cuide,Affected individuals
876,al menos tres muertos por fuerte terremoto en guatemala,Affected individuals
877,rt usrId urgente agencia reuters confirma ocho muertos tras el terremoto en guatemala,Affected individuals
878,D people dead in guatemala due to a 7.5 earthquake,Affected individuals
879,rt usrId at least D people reported dead following earthquake off pacific coast of guatemala httpAddress,Affected individuals
880,sismo en centroamrica habr a dejado DD muertos en guatemala httpAddress #noticias,Affected individuals
881,rt usrId sad news to report from #guatemala at least D confirmed dead possibly more by this morning s major httpAddress,Affected individuals
882,rt usrId un terremoto de 7 5 grados en la costa de guatemala causa varios muertos httpAddress,Affected individuals
883,rt usrId el sismo de 7 4 en #guatemala habr a causado v ctimas fatales seg n reportan medios locales citando fuentes oficiales httpAddress ..,Affected individuals
884,usrId el sismo de 7 4 en #guatemala habr a causado v ctimas fatales seg n reportan medios locales citando fuentes oficiales,Affected individuals
885,massive #earthquake in #guatemala official death toll D DD people without #electricity httpAddress,Affected individuals
886,via usrId urgente se estiman en DD los muertos y hay decenas de atrapados bajo derrumbes tras terremoto en guatemala,Affected individuals
887,rt usrId el sismo de 7 4 en #guatemala habr a causado v ctimas fatales seg n reportan medios locales citando fuentes oficiales httpAddress ..,Affected individuals
888,al menos tres muertos en san marcos deja un fuerte terremoto en guatemala httpAddress,Affected individuals
889,sismo en guatemala deja hasta el momento D muertos httpAddress,Affected individuals
890,eight dead in the 7.5 magnitude earthquake in guatemala,Affected individuals
891,#topstories strong quake off guatemala kills 8 felt in mexico city reuters httpAddress #mixalotdjz,Affected individuals
892,bomberos de san marcos sur occidente reportan alrededor de DD fallecidos y ms de DD personas desaparecidas por terremoto en guatemala,Affected individuals
893,rt usrId aumenta n mero de muertos por terremoto en guatemala ms de DD fallecidos gt ; httpAddress,Affected individuals
894,rt usrId reportan ocho muertos en guatemala tras sismo de 7.2 grados httpAddress,Affected individuals
895,un fuerte terremoto de 7 3 deja al menos ocho muertos en guatemala httpAddress v a usrId,Affected individuals
896,terremoto en guatemala !! varios muertos y al menos un ciento de desaparecidos,Affected individuals
