item_id,item,label
2684,national disaster agency D people killed in building collapse in cebu after philippines quake usrId,Affected individuals
2685,rt usrId D people killed in building collapse in cebu philippines after 7.2 earthquake per national disaster agency usrId,Affected individuals
2686,rt usrId D people killed in building collapse in cebu philippines after 7.2 earthquake per national disaster agency usrId,Affected individuals
2687,rt usrId at least four killed in building collapse after 7.2 magnitude earthquake in philippines near cebu officials say,Affected individuals
2688,usrId at least four killed in building collapse after 7.2 magnitude earthquake in philippines near cebu officials say,Affected individuals
2689,7.2 quake hits central philippines killing 4 httpAddress quake hits central philippine island killing at .. httpAddress,Affected individuals
2690,7.2 quake hits central philippines killing 4 httpAddress quake hits central philippine island killing at .. httpAddress,Affected individuals
2691,four killed by philippines quake httpAddress,Affected individuals
2692,#suryaray #indian 7.2 quake hits central philippines killing D usa today httpAddress usrId #india,Affected individuals
2693,photo #soco #glass #broken after the shaky #earthquake at #home #kaloka #cebu #instapic httpAddress httpAddress,Affected individuals
2694,D people killed in building collapse in cebu philippines after 7.2 earthquake per national disaster agency usrId,Affected individuals
2695,7.2 quake hits central philippines killing D httpAddress,Affected individuals
2696,rt usrId four killed in building collapse after philippines quake disaster agency httpAddress,Affected individuals
2697,rt usrId 7.2 magnitude earthquake hits central philippines killing four but no tsunami expected say officials httpAddress,Affected individuals
2698,rt usrId earthquake measuring 7.2 magnitude hits central philippines killing four people officials httpAddress,Affected individuals
2699,rt usrId 7.2 quake hits central philippines killing D usa today vancouver httpAddress quake hits central httpAddress httpAddress,Affected individuals
2700,usrId four killed in building collapse after philippines quake disaster agency httpAddress,Affected individuals
2701,rt usrId rt usrId 7.2 quake strikes near one of philippines largest httpAddress reuters amp ; local media report D killed httpAddress,Affected individuals
2702,rt usrId #breaking radio reports say a httpAddress quake has killed at least D people in central philippines usrId,Affected individuals
2703,rt usrId philippines #earthquake radio reports say httpAddress quake has killed at least D people in central philippines httpAddress,Affected individuals
2704,rt usrId 7.2 magnitude earthquake hits central philippines killing four but no tsunami expected say officials httpAddress,Affected individuals
2705,rt usrId philippines #earthquake radio reports say httpAddress quake has killed at least D people in central more httpAddress,Affected individuals
2706,rt usrId breaking radio reports say a httpAddress quake has killed at least D people in central philippines,Affected individuals
2707,rt usrId 7.2 magnitude earthquake hits central philippines killing four but no tsunami expected say officials httpAddress,Affected individuals
2708,rt usrId philippines #earthquake radio reports say httpAddress quake has killed at least D people in central philippines httpAddress,Affected individuals
2709,at least D people killed after 7.2 #earthquake hits central httpAddress #least httpAddress,Affected individuals
2710,D killed in philippines earthquake httpAddress,Affected individuals
2711,rt usrId meat vendor at mandaue city public market killed after getting buried in httpAddress via usrId #cebu #earthquake,Affected individuals
2712,7.2 quake hits central philippines killing D the hindu httpAddress,Affected individuals
2713,rt usrId 7.2 magnitude earthquake hits central philippines killing four but no tsunami expected say officials httpAddress,Affected individuals
2714,rt usrId update six killed after 7.1 #quake hits southern #philippines photos httpAddress,Affected individuals
2715,several killed in philippines earthquake httpAddress,Affected individuals
2716,rt usrId casualties from 7.2 #earthquake in the #philippines is now 20 according to authorities,Affected individuals
2717,strong quake shakes central philippines kills 12 manila philippines ap a httpAddress earthquake httpAddress httpAddress,Affected individuals
2718,rt usrId magnitude 7.2 hits visayas DD aftershocks as of 11am DD casualties #prayforcebu #prayforbohol,Affected individuals
2719,rt usrId DD dead in visayas quake yahoo philippines news httpAddress,Affected individuals
2720,officials death toll rises to DD in httpAddress quake in central philippines officials death toll rises httpAddress httpAddress,Affected individuals
2721,rt usrId #earthquake httpAddress babies rescued from the httpAddress picture by ann httpAddress #prayforvisayas httpAddress,Affected individuals
2722,rt usrId major earthquake strikes the philippines photos httpAddress,Affected individuals
2723,httpAddress earthquake hits the philippines DD dead httpAddress,Affected individuals
2724,death toll rises to at least DD after httpAddress quake collapses buildings cracks roads in philippines httpAddress,Affected individuals
2725,rt usrId death toll rises to at least DD after httpAddress quake collapses buildings cracks roads in philippines httpAddress,Affected individuals
2726,rt usrId central philippines earthquake measuring 7.2 magnitude kills at least DD people reports say httpAddress,Affected individuals
2727,rt usrId central philippines earthquake measuring 7.2 magnitude kills at least DD people reports say httpAddress,Affected individuals
2728,DD na daw namatay sa cebu dahil sa lindol #prayforcebu #prayforvisayas #prayforthephilippines,Affected individuals
2729,at least DD dead in philippines quake cebu philippines httpAddress DD upi a powerful earthquake httpAddress httpAddress #tscent,Affected individuals
2730,usrId philippines earthquake at least DD dead a 7.1 magnitude earthquake hits cebu the economic and political httpAddress usrId,Affected individuals
2731,bohol island philippines earthquake DD leaves multiple people httpAddress read more at httpAddress httpAddress,Affected individuals
2732,rt usrId at least DD dead after httpAddress earthquake strikes central philippines httpAddress,Affected individuals
2733,DD dead as httpAddress earthquake hits the philippines httpAddress,Affected individuals
2734,rt usrId more than DD people now confirmed dead after philippines earthquake httpAddress,Affected individuals
2735,update at least DD killed in philippines magnitude 7.2 earthquake usrId httpAddress #sp4zee,Affected individuals
2736,philippines earthquake kills 6 up to 7.1 magnitude httpAddress,Affected individuals
2737,news major quake shakes central philippines kills DD httpAddress #jamaica #reggae,Affected individuals
2738,DD dead as httpAddress earthquake hits the philippines httpAddress,Affected individuals
2739,strong quake kills at least DD in central philippines manila reuters a strong earthquake measuring 7.2 httpAddress httpAddress,Affected individuals
2740,rt usrId at least DD killed after magnitude 7.2 earthquake hits the philippines httpAddress,Affected individuals
2741,philippines earthquake at least DD dead yahoo news uk httpAddress via usrId,Affected individuals
2742,rt usrId breaking police raise death toll to DD in earthquake in central philippines,Affected individuals
2743,good evening napakalakas ng lindol dito sa cebu #prayforvisayas,Affected individuals
2744,rt usrId update at least DD killed after 7.1 quake hits southern philippines httpAddress usrId,Affected individuals
2745,rt usrId update police raise death toll to DD in earthquake in central philippines usrId,Affected individuals
2746,rt usrId DD confirmed dead in visayas httpAddress #prayforvisayas,Affected individuals
2747,death toll from major earthquake in central philippines jumps to DD ctv news ctv newsdeath toll from major .. httpAddress,Affected individuals
2748,DD killed as 7.2 magnitude earthquake rattles philippines indian express httpAddress,Affected individuals
2749,rt usrId at least DD people now reported dead after 7.2 magnitude earthquake in central philippines httpAddress,Affected individuals
2750,rt usrId death toll soars past DD as frantic search continues for survivors of philippines earthquake httpAddress,Affected individuals
2751,death toll from a strong earthquake in the philippines has risen to DD 7.2 magnitude quake hit the tourist island of httpAddress,Affected individuals
2752,bangkok post gt ; death toll in philippines quake jumps to DD the death toll from a httpAddress earthquake that httpAddress httpAddress,Affected individuals
2753,death toll in philippines quake jumps to DD httpAddress via usrId,Affected individuals
2754,rt usrId update police raise death toll to DD in earthquake in central philippines usrId,Affected individuals
2755,rt usrId at least DD dead churches destroyed as 7.2 earthquake hits philippines httpAddress,Affected individuals
2756,rt usrId toll rises to DD in philippines earthquake .. httpAddress,Affected individuals
2757,rt usrId update more than DD killed buildings damaged after 7.1 quake hits southern philippines httpAddress httpAddress,Affected individuals
2758,at least DD people killed in philippines earthquake httpAddress usrId,Affected individuals
2759,rt usrId update at least DD killed after httpAddress #earthquake in philippines httpAddress,Affected individuals
2760,strong quake kills at least DD in central philippines httpAddress,Affected individuals
2761,dozens die in philippines after powerful earthquake the quake whose magnitude was reported as 7.2 before httpAddress httpAddress,Affected individuals
2762,#philippines dozens killed after earthquake hits philippines httpAddress,Affected individuals
2763,at least DD people dead after 7.2 earthquake hits central philippines fox news httpAddress via usrId #coe215,Affected individuals
2764,philippines earthquake death toll now at DD httpAddress,Affected individuals
2765,rt usrId philippines update death toll from 7.2 #earthquake jumps to DD httpAddress,Affected individuals
