item_id,item,label
3627,httpAddress DD napa rocked by httpAddress earthquake state of emergency declared an earthquake with a magnitude of 6.1,Caution and advice
3628,no pinoys hurt in california quake dfa httpAddress,Caution and advice
3629,chicago il tribune local state of emergency after httpAddress quake strikes near napa california,Caution and advice
3630,rt usrId seismologists warn that northern california s biggest earthquake in DD years may mean a bigger one will hit soon httpAddress,Caution and advice
3631,usa DD earthquake earthquake rattles doesn t wreck napa wineries news24lhot georgia usa httpAddress httpAddress,Infrastructure and utilities
3632,california quake damages historic buildings httpAddress #news,Infrastructure and utilities
3633,90 of ca homes don t have quake httpAddress there are reasons httpAddress,Infrastructure and utilities
3634,california begins quake clear up httpAddress,Infrastructure and utilities
3635,napa valley wineries picking up the pieces after httpAddress httpAddress,Infrastructure and utilities
3636,httpAddress cohn winery after napa httpAddress httpAddress httpAddress,Infrastructure and utilities
3637,n . california earthquake damage could reach 1b httpAddress,Infrastructure and utilities
3638,disaster news pg amp ; e says over DD #gas distribution outages remain after sunday s mag 6.0 #earthquake near #napa httpAddress,Infrastructure and utilities
3639,m c ca quake knocks napa stations httpAddress httpAddress,Infrastructure and utilities
3640,billions of dollars of wine rocked in california earthquake httpAddress,Infrastructure and utilities
3641,#detroit #news earthquake s timing left many fumbling in dark in california s wine country napa httpAddress a httpAddress httpAddress,Infrastructure and utilities
3642,from sunday sonoma raceway escapes earthquake damage ; httpAddress #nascar,Infrastructure and utilities
3643,napa earthquake residents many of them seniors flee from devastating mobile home fire #sanfrancisco httpAddress,Infrastructure and utilities
3644,some napa valley wineries hit hard by earthquake httpAddress #cnn #usa,Infrastructure and utilities
3645,at it s peak 70 00 customers were without power from the #napa quake usrId usrId,Infrastructure and utilities
3646,strong 6.0 #california #earthquake surprises as it hits #napa #vineyards #retailers #businesses #homes httpAddress tvix #vix,Infrastructure and utilities
3647,major cleanup after earthquake in california httpAddress #cbs4mornings,Infrastructure and utilities
3648,rt usrId california begins clear up after san francisco quake httpAddress,Infrastructure and utilities
3649,damages from northern california earthquake could reach 1 billion httpAddress #nationalnews httpAddress,Infrastructure and utilities
3650,downtown #napa shut down for fear of further httpAddress too dangerous for clean up . DD bldgs red httpAddress #napaquake httpAddress,Infrastructure and utilities
3651,mt usrId bldgs in #napa red httpAddress off after y day s httpAddress httpAddress live thru 3pet httpAddress,Infrastructure and utilities
3652,rt usrId top stories california earthquake bay area picks up pieces after strongest quake in DD years cnn httpAddress http,Infrastructure and utilities
3653,napa district atty s also suffered quake damage as pieces of the ceiling came crashing httpAddress usrId httpAddress,Infrastructure and utilities
3654,san francisco bay area assessing damage after large quake #jobs #news #career #jobsila # httpAddress,Infrastructure and utilities
3655,#photos of the damage caused by sundays frightening #napaquake gt ; httpAddress,Infrastructure and utilities
3656,the oldest commercial building in #napa a former brothel brewery and most recently a wine tasting room #napaquake httpAddress,Infrastructure and utilities
3657,pg amp ; e search for natural gas leaks after northern california quake httpAddress via usrId,Infrastructure and utilities
3658,napa picks up the pieces after quake httpAddress via usrId,Infrastructure and utilities
3659,rt usrId dozens of buildings unsafe after #napa #california httpAddress more than DD aftershocks httpAddress DD sent to hospital httpAddress,Infrastructure and utilities
3660,california begins repairs after sunday s httpAddress httpAddress httpAddress,Infrastructure and utilities
3661,napa picks up the pieces after quake httpAddress via usrId,Infrastructure and utilities
3662,quake jolts california wine region httpAddress via usrId,Infrastructure and utilities
3663,california winemakers cleaning up after quake httpAddress via usrId,Infrastructure and utilities
3664,new pics from the california httpAddress scotty mac on downtown radio httpAddress httpAddress via usrId,Infrastructure and utilities
3665,california earthquake aftermath buildings destroyed over DD injured httpAddress #bestofyoutube,Infrastructure and utilities
3666,california earthquake bay area picks up pieces after strongest quake in DD years httpAddress,Infrastructure and utilities
3667,california quake crumples buildings as scores are hurt httpAddress via usrId,Infrastructure and utilities
3668,rt usrId california earthquake bay area picks up pieces after strongest quake in DD years httpAddress #teamfollowback,Infrastructure and utilities
3669,numerous buildings uninhabitable after bay area earthquake httpAddress via usrId,Infrastructure and utilities
3670,california quake damages historic buildings httpAddress,Infrastructure and utilities
3671,rt usrId a strong #earthquake rattled #california s wine country and damaged historic buildings httpAddress httpAddress,Infrastructure and utilities
3672,video crews find fixing #napaquake water mains a complicated process httpAddress httpAddress via usrId,Infrastructure and utilities
3673,rt usrId a strong #earthquake rattled #california s wine country and damaged historic buildings httpAddress httpAddress,Infrastructure and utilities
3674,woof ! california quake means big damage for napa valley wineries httpAddress httpAddress #droolnews #news,Infrastructure and utilities
3675,rt usrId a strong #earthquake rattled #california s wine country and damaged historic buildings httpAddress httpAddress,Infrastructure and utilities
3676,#napaquake hwy DD is open at cuttings httpAddress damage was done from the quake but it has been temporarily httpAddress caltrans is httpAddress,Infrastructure and utilities
3677,rt usrId a strong #earthquake rattled #california s wine country and damaged historic buildings httpAddress httpAddress,Infrastructure and utilities
3678,rt usrId a strong #earthquake rattled #california s wine country and damaged historic buildings httpAddress httpAddress,Infrastructure and utilities
3679,DD businesses condemned in #napa this morning after sunday s 6.0 #earthquake,Infrastructure and utilities
3680,rt usrId a strong #earthquake rattled #california s wine country and damaged historic buildings httpAddress httpAddress,Infrastructure and utilities
3681,#earthquake httpAddress here s one #napa home s kitchen httpAddress #koit pics httpAddress,Infrastructure and utilities
3682,rt usrId 6.0 earthquake jolts northern httpAddress some power outages httpAddress centered near httpAddress httpAddress,Infrastructure and utilities
3683,aftershocks continue after #napa earthquake ; residents urged to stay away from damaged buildings due to debris httpAddress,Infrastructure and utilities
