item_id,item,label
17713,#prayforchile they ve prayed for us philippines because of the typhoon httpAddress it s time to pray for httpAddress xx,Sympathy and support
17714,i hope that usrId will follow httpAddress still waiting for httpAddress would be very happy if you make it httpAddress love you babe x57,Not related or irrelevant
17715,rt usrId thinking of everyone in chile httpAddress hope all of you are safe ! #prayforchile #chileearthquake,Sympathy and support
17716,chile assesses damage after massive quake tsunami santiago reuters chilean authorities on wednesday httpAddress httpAddress,Infrastructure and utilities
17717,disaster declared after chile quake chile declares three northern regions hit by a 8.2 magnitude earthquake httpAddress httpAddress,Other Useful Information
17718,rt usrId update tsunami waves of up to 2.4 feet measured or reported along coast of northern chile ; tsunami warnings httpAddress,Other Useful Information
17719,in the mean time here s our coverage of the chile earthquake aftermath by usrId with assist from usrId httpAddress,Other Useful Information
17720,rt usrId there was a 8.2 earthquake in chile yet the tabloids wanna focus on the fact that lindsay lohan s credit card declined whil,Other Useful Information
17721,#newsofindia D killed in earthquake off northern chile new york times irish independentD httpAddress httpAddress .. check out !,Affected individuals
17722,massive chile earthquake may not be the big one httpAddress,Other Useful Information
17723,rt usrId #tsunami advisory offshore hazard for the state of httpAddress waves expected to arrive httpAddress 3 24 am httpAddress #ptwc httpAddress,Caution and advice
17724,rt usrId world laugh of peruvian army httpAddress #windsor #essex #hounslow #nunavut #latam #chile #england #europe,Not related or irrelevant
17725,httpAddress earthquake strikes off the coast of httpAddress tsunami httpAddress httpAddress,Other Useful Information
17726,hard to believe that the peru trip is almost httpAddress i am so proud of the seniors in my family group they did such a great job this week !,Not related or irrelevant
17727,usrId our little weirdo #lovehim httpAddress,Not related or irrelevant
17728,rt usrId who can resist the classic j champ thumbs up pic ! #argentina #chile #cagetheelephant httpAddress,Not related or irrelevant
17729,rt usrId 4.8 earthquake 96km wnw of iquique httpAddress apr D 0D 28 at epicenter D7m ago depth httpAddress httpAddress,Other Useful Information
17730,rt usrId #prayforsouthkorea #prayforchile #prayforindonesia #prayfornepal #prayforukraine #prayforflores #prayfortheworld so man,Sympathy and support
17731,rt usrId now chile s navy issues tsunami warning following magnitude 7.8 quake usrId usrId,Caution and advice
17732,rt usrId prayers to the people of httpAddress may god grant you all httpAddress f #prayforchile #indonesianrespect,Sympathy and support
17733,rt usrId powerful earthquake triggers tsunami off coast of chile httpAddress httpAddress,Other Useful Information
17734,let s right armando cristian perez,Not related or irrelevant
17735,rt usrId let us pause for a while and pray for our friends who lived in chile magnitude of 8.2 earthquake has struck httpAddress #prayfor,Sympathy and support
17736,httpAddress offshore tarapaca chile depth httpAddress apr 05 DD 00 33 57 utc apr 04 DD 20 33 57 at epicenter httpAddress,Other Useful Information
17737,rt usrId rt usrId praying for httpAddress my heart is with you all right now httpAddress #prayforchile,Sympathy and support
17738,cbsnews just in D reported dead in #chileearthquake ; DD inmates escape from women s prison,Affected individuals
17739,rt usrId an earthquake 8 3 liberates 3x times more energy than the nagasaki s atomic httpAddress #prayforchile httpAddress,Other Useful Information
17740,rt usrId earthquakes can t shake us . let s all offer a prayer for httpAddress #prayforchile,Sympathy and support
17741,httpAddress it s hard to cope after the earthquake esp when you know aftershocks will go on for days or even httpAddress,Sympathy and support
17742,i m belieber since DD and i will be httpAddress you re the best idol i ve ever had in my life i love you so much usrId x11,Not related or irrelevant
17743,queennigger httpAddress i never liked dat httpAddress i hope dha cookers and dha servers are okay doe ! #prayforchile #chileearthquake,Not related or irrelevant
17744,rt usrId pray for chile and earthquake httpAddress f,Sympathy and support
17745,rt usrId #prayforchile may god continue to be with you httpAddress,Sympathy and support
17746,227 s youtube chili microsoft227 227 s youtube chili chile earthquake 8.0 giant httpAddress httpAddress jamaal al din nba,Other Useful Information
17747,my nbc news report from northern chile earthquake damages chilean infrastructure httpAddress,Infrastructure and utilities
17748,rt usrId at least five dead in chile earthquake as tsunami alert prompts coastal evacuation httpAddress,Affected individuals
17749,#albert stanlie inf chile earthquake no tsunami threat to california officials say a httpAddress httpAddress httpAddress,Other Useful Information
17750,rt usrId hearts going out to those suffering in the wake of the earthquake in chile #prayforchile,Sympathy and support
17751,rt usrId news you can use from philstockworld #hft #chileearthquake ewj #japan #china spy pcg mnkd goog fb httpAddress,Not related or irrelevant
17752,rt usrId #rt i live in #chile httpAddress #asmsg #t4us #4ftm #aga3 #ian1 #bynr #chileearthquakeandtsunami #pdf1 ht,Other Useful Information
17753,#earthquake #sismo ml 3.4 offshore tarapaca chile magnitude ml httpAddress tarapaca chiledate httpAddress httpAddress,Other Useful Information
17754,httpAddress #45km wnw of #iquique #chile #11april2014 12 00 51 utc #prayersforpapuanewguinea #prayersforchile #usgs #noaa httpAddress,Sympathy and support
17755,rt usrId update earthquake in northern chile upgraded to magnitude 7.8 usgs httpAddress via usrId httpAddress,Other Useful Information
17756,tsunami alert dropped following quake off northern chile httpAddress httpAddress #peru,Caution and advice
17757,rt usrId tsunami alert for #chile will last for at least another D hrs following 8.2 quake officials httpAddress httpAddress,Caution and advice
17758,rt usrId this incredible animation shows how chile s tsunami took over the entire pacific httpAddress watch httpAddress ht,Other Useful Information
17759,mt usrId situation report on the earthquake in httpAddress httpAddress #terremoto,Other Useful Information
17760,usrId #prayforchile #chileneedyou #chileearthquake please we need you httpAddress,Sympathy and support
17761,rt usrId strong earthquake near coast of tarapaca chile apr 7 13 D3 utc D #quake httpAddress httpAddress,Other Useful Information
17762,rt usrId #prayforchile amp ; everyone effected by the 8.2 magnitude earthquake httpAddress tsunami amp ; the DD prisoners who escaped 3 f f,Sympathy and support
17763,oh no terrible earthquake last night in httpAddress #prayforchile f,Sympathy and support
17764,rt usrId breaking first #tsunami waves reach #chile coastline after massive aftershock navy httpAddress,Other Useful Information
17765,rt usrId we re live in DD minutes with the latest on the earthquake in #chile reports on #mh370 and details of the #middleeast peac,Other Useful Information
17766,earthquake in httpAddress 8.2 on scale and sets off landslides and httpAddress D are confirmed httpAddress we ll have the latest this httpAddress,Affected individuals
17767,rt usrId i just httpAddress i have friends in httpAddress tell me you re ok #earthquake,Other Useful Information
17768,rt usrId an 8.0 magnitude earthquake hit httpAddress tsunami warning issued for chile peru and httpAddress let s pray for them http,Sympathy and support
17769,rt usrId just saw jype s boys had good performance in japan m ! countdown n we thanks god ! also pray for chile good recover from earthq,Sympathy and support
